id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
binance-usd,23,BUSD,Binance USD,2864514304.3890970000000000,,2870870520.1745155459768602,146285259.9384116618376709,1.0022189506177991,0.1318309080740306,1.0015941399559749,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
monero,24,XMR,Monero,18326755.4370893800000000,,2580243047.2897989014248029,21119755.6689915766993673,140.7910448822788532,-0.1491185575058236,140.3298252885893022,http://moneroblocks.info/
uniswap,25,UNI,Uniswap,577501031.0000000000000000,1000000000.0000000000000000,2543127598.6394313151757544,27205108.7239720087629048,4.4036762916868824,0.9273866978970921,4.3889563543586165,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
ethereum-classic,26,ETC,Ethereum Classic,142801852.7879627300000000,210700000.0000000000000000,2194160911.6394276245093649,14773564.8660500386505002,15.3650731331714287,0.2900670737745371,15.4699331644178292,http://gastracker.io/
cosmos,27,ATOM,Cosmos,248453201.0000000000000000,,1703374434.5839220707608988,31479476.4969785402396374,6.8559166383367388,2.4889993013517353,6.7997586351215895,https://www.mintscan.io/
internet-computer,28,ICP,Internet Computer,442207177.2520371000000000,,1439367214.8404940233794474,4402907.5503783351808066,3.2549612237978739,-0.5126814020456128,3.2585278921571445,https://www.dfinityexplorer.org/#/
filecoin,29,FIL,Filecoin,445668335.0000000000000000,,1416114280.4578023579232390,23984844.3796836555251910,3.1775070590505434,-0.1046379123724913,3.1860064196874243,https://protocol.ai
bitcoin-bep2,30,BTCB,Bitcoin BEP2,53850.9314696000000000,,1394789215.3250647179798135,21812210.3653584861333180,25900.9301651997049485,0.3729607988216297,25861.7821061252660655,https://explorer.binance.org/asset/BTCB-1DE
lido-dao,31,LDO,Lido DAO,887721386.2129333000000000,1000000000.0000000000000000,1365444089.5522214432118276,347122.2930818874373566,1.5381448625196230,0.0108158663053129,1.5326751370853625,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
crypto-com-coin,32,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,1279332312.4701738245180148,1261324.8201537430189302,0.0506405264260019,0.2568991540134316,0.0503671185576734,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
quant,33,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1203924212.5080735235767762,2428131.9774383990590040,99.7225494753612249,0.2867593331088258,99.4848379757783082,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
vechain,34,VET,VeChain,72714516834.0000000000000000,86712634466.0000000000000000,1124044366.6640580358834104,7146408.9285286140293794,0.0154583213312156,-0.4715288829645796,0.0155727477462474,https://explore.veforge.com/
maker,35,MKR,Maker,977631.0369508900000000,1005577.0000000000000000,1102667200.3406138877014980,38788064.0508197928741415,1127.8970886395916599,-2.2664750092240349,1137.8399539091482167,https://etherscan.io/token/Maker
near-protocol,36,NEAR,NEAR Protocol,941671517.0000000000000000,,1062382014.9553129414113758,3913762.7564267946179291,1.1281874791539574,-0.1486848626710117,1.1239303451245162,https://explorer.nearprotocol.com/
the-graph,37,GRT,The Graph,9175021491.0864980000000000,,800648315.1273323206494708,4800818.8395725306256839,0.0872639171368873,1.7321069508194619,0.0865537751934080,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
aave,38,AAVE,Aave,14528668.9881521200000000,16000000.0000000000000000,792998662.0623275169762807,37174735.2887107344668977,54.5816456214264572,-0.1985346521896248,54.8348057332666839,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
algorand,39,ALGO,Algorand,7828353138.9529260000000000,10000000000.0000000000000000,740445707.0409996433888306,6868890.3352381760222722,0.0945851182104487,2.5096429379568678,0.0939133423549654,https://algoexplorer.io/
hedera-hashgraph,40,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,740195337.2342471936329376,20112615.8605987513179036,0.0499027514399192,1.8825783809587248,0.0493580839091316,https://hash-hash.info/
xinfin-network,41,XDC,XinFin Network,12293293518.5500000000000000,,716684792.5542456330349153,564553.7396933009258121,0.0582988433061329,-1.1083566192634890,0.0583709149933782,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
tezos,42,XTZ,Tezos,951218268.2990250000000000,,658450864.7581828720828068,5403429.6901935201607026,0.6922184809755906,1.1383714713789388,0.6896477734723096,https://tzkt.io/
eos,43,EOS,EOS,1101550870.4148000000000000,,648452488.2066394548911119,21249372.2314582795867667,0.5886723034066127,1.3977729226946828,0.5809758822658934,https://bloks.io/
stacks,44,STX,Stacks,1404439352.5519490000000000,1818000000.0000000000000000,642076719.5407360396898047,4375190.1457862395199953,0.4571765369391315,-1.1739700478717269,0.4586073239363502,https://explorer.xinfin.network/
axie-infinity,45,AXS,Axie Infinity,140847525.9244541500000000,270000000.0000000000000000,632258079.5006696428163390,6077095.6229634787363141,4.4889541037433025,-0.2705711519257387,4.4983623713858455,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
the-sandbox,46,SAND,The Sandbox,2064931926.2233226000000000,3000000000.0000000000000000,629345831.3342914954027494,10816605.2493982155658966,0.3047780042247396,0.0524845831170818,0.3049912640990907,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
theta,47,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,612833501.4436074000000000,2598758.3949095769177724,0.6128335014436074,0.0715525458116640,0.6088974005926951,https://explorer.thetatoken.org/
elrond-egld,48,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,598988268.8585621924785719,2527016.3656852865900814,24.7673841874347941,-0.1355509641901584,24.7567674223133884,https://explorer.elrond.com/
bitcoin-sv,49,BSV,Bitcoin SV,19266076.6442390500000000,21000000.0000000000000000,584303723.6206116496431853,2691041.9067766519688035,30.3281116550177529,-2.5408043510845268,30.5142503179063672,https://bsvexplorer.io/
fantom,50,FTM,Fantom,2803419027.3041034000000000,3175000000.0000000000000000,563915167.2175613429415688,10763358.0736446230910450,0.2011526502906874,-0.8413131508447695,0.2021397507380022,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
decentraland,51,MANA,Decentraland,1893095370.6427295000000000,,553969083.1263170044652432,3769426.9632044536384980,0.2926260830368190,0.3589816682463661,0.2920448821047733,https://etherscan.io/token/decentraland
thorchain,52,RUNE,THORChain,338910173.0000000000000000,500000000.0000000000000000,522093527.3303077286959476,11174686.4719916904322449,1.5405070987063812,-2.6262344402987205,1.5677061166650233,https://explorer.binance.org/asset/RUNE-B1A
neo,53,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,497582872.5420684987958586,7188738.7965419963116971,7.0540277672317606,1.2797305823583291,7.0067773442545929,https://neotracker.io
render-token,54,RNDR,Render Token,369614008.1087959400000000,536870912.0000000000000000,497190157.2556224558972043,966480.2787115640604117,1.3451604818756611,1.5442278362638878,1.3391201774871712,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
injective-protocol,55,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,493590296.9126542881918377,3921242.1200726738625308,6.7609964946163609,-0.4886535149088325,6.7973908528601182,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
paxos-standard,56,USDP,Pax Dollar,488345990.5506834400000000,,489417484.6321806623402298,1640508.6013545676774352,1.0021941289623141,0.1705560034011410,,https://etherscan.io/token/0x8e870d67f660d95d5be530380d0ec0bd388289e1
kava,57,KAVA,Kava,738735682.0000000000000000,,487898072.9965634111586110,4948073.5129812932341348,0.6604501242929855,-0.6007373820498844,0.6510989580918442,https://www.mintscan.io/kava
